company,ticker
Apple Inc. ,AAPL
"Airbnb, Inc. ",ABNB
Adobe Inc. ,ADBE
"Analog Devices, Inc. ",ADI
"Automatic Data Processing, Inc. ",ADP
"Autodesk, Inc. ",ADSK
"American Electric Power Company, Inc. ",AEP
"Applied Materials, Inc. ",AMAT
"Advanced Micro Devices, Inc. ",AMD
Amgen Inc. ,AMGN
"Amazon.com, Inc. ",AMZN
"ANSYS, Inc. ",ANSS
ASML Holding N.V.,ASML
Axon Enterprise,AXON
Broadcom Inc. ,AVGO
AstraZeneca PLC ,AZN
Biogen Inc. ,BIIB
Booking Holdings Inc. ,BKNG
Baker Hughes Company ,BKR
Coca-Cola Europacific Partners plc  ,CCEP
"Cadence Design Systems, Inc. ",CDNS
CDW Corporation ,CDW
Constellation Energy Corporation ,CEG
"Charter Communications, Inc. ",CHTR
Comcast Corporation Class A ,CMCSA
Costco Wholesale Corporation ,COST
"Copart, Inc.  ",CPRT
"CrowdStrike Holdings, Inc.  ",CRWD
"Cisco Systems, Inc.  ",CSCO
"CoStar Group, Inc. ",CSGP
CSX Corporation ,CSX
Cintas Corporation ,CTAS
Cognizant Technology Solutions Corporation  ,CTSH
"DoorDash, Inc. ",DASH
"Datadog, Inc.",DDOG
Dollar Tree Inc. ,DLTR
"DexCom, Inc. ",DXCM
Electronic Arts Inc. ,EA
Exelon Corporation ,EXC
"Diamondback Energy, Inc. ",FANG
Fastenal Company ,FAST
"Fortinet, Inc. ",FTNT
GE HealthCare Technologies Inc. ,GEHC
GlobalFoundries Inc. Ordinary Shares,GFS
"Gilead Sciences, Inc. ",GILD
Alphabet Inc. Class C  ,GOOG
Alphabet Inc. Class A ,GOOGL
Honeywell International Inc. ,HON
"IDEXX Laboratories, Inc. ",IDXX
Intel Corporation ,INTC
Intuit Inc. ,INTU
"Intuitive Surgical, Inc. ",ISRG
Keurig Dr Pepper Inc. ,KDP
The Kraft Heinz Company ,KHC
KLA Corporation ,KLAC
Lam Research Corporation ,LRCX
lululemon athletica inc. ,LULU
Marriott International ,MAR
Microchip Technology Incorporated ,MCHP
MicroStrategy,MSTR
"MongoDB, Inc. ",MDB
"Mondelez International, Inc. ",MDLZ
"MercadoLibre, Inc. ",MELI
"Meta Platforms, Inc. ",META
Monster Beverage Corporation,MNST
"Marvell Technology, Inc. ",MRVL
Microsoft Corporation ,MSFT
"Micron Technology, Inc. ",MU
"Netflix, Inc. ",NFLX
NVIDIA Corporation ,NVDA
NXP Semiconductors N.V. ,NXPI
"Old Dominion Freight Line, Inc. ",ODFL
ON Semiconductor Corporation ,ON
"O'Reilly Automotive, Inc. ",ORLY
Palantir Technologies,PLTR
"Palo Alto Networks, Inc. ",PANW
"Paychex, Inc. ",PAYX
PACCAR Inc. ,PCAR
PDD Holdings Inc. ,PDD
"PepsiCo, Inc. ",PEP
"PayPal Holdings, Inc. ",PYPL
QUALCOMM Incorporated ,QCOM
"Regeneron Pharmaceuticals, Inc. ",REGN
"Roper Technologies, Inc. ",ROP
"Ross Stores, Inc. ",ROST
Starbucks Corporation ,SBUX
Sirius XM Holdings Inc. ,SIRI
"Synopsys, Inc. ",SNPS
Splunk Inc. ,SPLK
Atlassian Corporation ,TEAM
"T-Mobile US, Inc. ",TMUS
"Tesla, Inc. ",TSLA
"The Trade Desk, Inc. ",TTD
"Take-Two Interactive Software, Inc. ",TTWO
Texas Instruments Incorporated ,TXN
"Verisk Analytics, Inc. ",VRSK
Vertex Pharmaceuticals Incorporated ,VRTX
"Warner Bros. Discovery, Inc. ",WBD
"Workday, Inc. ",WDAY
Xcel Energy Inc. ,XEL
"Zscaler, Inc. ",ZS
