company,ticker,sector
Apple Inc,AAPL,Information Technology
Microsoft Corp,MSFT,Information Technology
Amazon Com Inc,AMZN,Consumer Discretionary
Nvidia Corp,NVDA,Information Technology
Alphabet Inc Class A,GOOGL,Communication
Alphabet Inc Class C,GOOG,Communication
Meta Platforms Inc Class A,META,Communication
Berkshire Hathaway Inc Class B,BRKB,Financials
Tesla Inc,TSLA,Consumer Discretionary
Unitedhealth Group Inc,UNH,Health Care
Eli Lilly,LLY,Health Care
JPMorgan Chase & Co,JPM,Financials
Exxon Mobil Corp,XOM,Energy
Johnson & Johnson,JNJ,Health Care
Visa Inc Class A,V,Financials
Procter & Gamble,PG,Consumer Staples
Broadcom Inc,AVGO,Information Technology
Mastercard Inc Class A,MA,Financials
Home Depot Inc,HD,Consumer Discretionary
Chevron Corp,CVX,Energy
Merck & Co Inc,MRK,Health Care
Abbvie Inc,ABBV,Health Care
Pepsico Inc,PEP,Consumer Staples
Costco Wholesale Corp,COST,Consumer Staples
Adobe Inc,ADBE,Information Technology
Coca-Cola,KO,Consumer Staples
Cisco Systems Inc,CSCO,Information Technology
Walmart Inc,WMT,Consumer Staples
Thermo Fisher Scientific Inc,TMO,Health Care
Mcdonalds Corp,MCD,Consumer Discretionary
Pfizer Inc,PFE,Health Care
Salesforce Inc,CRM,Information Technology
Bank Of America Corp,BAC,Financials
Accenture Plc Class A,ACN,Information Technology
Comcast Corp Class A,CMCSA,Communication
Linde Plc,LIN,Materials
Netflix Inc,NFLX,Communication
Abbott Laboratories,ABT,Health Care
Oracle Corp,ORCL,Information Technology
Danaher Corp,DHR,Health Care
Advanced Micro Devices Inc,AMD,Information Technology
Wells Fargo,WFC,Financials
Walt Disney,DIS,Communication
Texas Instrument Inc,TXN,Information Technology
Philip Morris International Inc,PM,Consumer Staples
Verizon Communications Inc,VZ,Communication
Intuit Inc,INTU,Information Technology
Conocophillips,COP,Energy
Caterpillar Inc,CAT,Industrials
Amgen Inc,AMGN,Health Care
Nextera Energy Inc,NEE,Utilities
Intel Corporation Corp,INTC,Information Technology
Union Pacific Corp,UNP,Industrials
Lowes Companies Inc,LOW,Consumer Discretionary
International Business Machines Co,IBM,Information Technology
Bristol Myers Squibb,BMY,Health Care
S&P Global Inc,SPGI,Financials
Rtx Corp,RTX,Industrials
Honeywell International Inc,HON,Industrials
Boeing,BA,Industrials
United Parcel Service Inc Class B,UPS,Industrials
General Electric,GE,Industrials
Qualcomm Inc,QCOM,Information Technology
Applied Material Inc,AMAT,Information Technology
Nike Inc Class B,NKE,Consumer Discretionary
Prologis Reit Inc,PLD,Real Estate
Servicenow Inc,NOW,Information Technology
Booking Holdings Inc,BKNG,Consumer Discretionary
Starbucks Corp,SBUX,Consumer Discretionary
Morgan Stanley,MS,Financials
Elevance Health Inc,ELV,Health Care
Medtronic Plc,MDT,Health Care
Goldman Sachs Group Inc,GS,Financials
Deere,DE,Industrials
Automatic Data Processing Inc,ADP,Industrials
Lockheed Martin Corp,LMT,Industrials
Tjx Inc,TJX,Consumer Discretionary
At&T Inc,T,Communication
Blackrock Inc,BLK,Financials
Intuitive Surgical Inc,ISRG,Health Care
Mondelez International Inc Class A,MDLZ,Consumer Staples
Gilead Sciences Inc,GILD,Health Care
Marsh & Mclennan Inc,MMC,Financials
American Express,AXP,Financials
Stryker Corp,SYK,Health Care
Regeneron Pharmaceuticals Inc,REGN,Health Care
Vertex Pharmaceuticals Inc,VRTX,Health Care
Eaton Plc,ETN,Industrials
Lam Research Corp,LRCX,Information Technology
Analog Devices Inc,ADI,Information Technology
Charles Schwab Corp,SCHW,Financials
Cvs Health Corp,CVS,Health Care
Zoetis Inc Class A,ZTS,Health Care
Cigna,CI,Health Care
Chubb Ltd,CB,Financials
American Tower Reit Corp,AMT,Real Estate
Schlumberger Nv,SLB,Energy
Citigroup Inc,C,Financials
Becton Dickinson,BDX,Health Care
Altria Group Inc,MO,Consumer Staples
Progressive Corp,PGR,Financials
T Mobile Us Inc,TMUS,Communication
Fiserv Inc,FI,Financials
Southern,SO,Utilities
Eog Resources Inc,EOG,Energy
Boston Scientific Corp,BSX,Health Care
Cme Group Inc Class A,CME,Financials
