company,ticker
1&1 DrillischAktiengesellschaft,1U1
2G energy AG,2GB
3U Holding AG,UUU
7C Solarparken AG,HRPK
Aareal Beteiligungen AG,ARL
Adidas AG,ADS
Allianz SE,ALV
Amadeus Fire AG,AAD
Atoss Software AG,AOF
AURELIUS Equity Opportunities SE & Co KGaA,AR4
Aurubis AG,NDA
Basf SE,BAS
Basler AG,BSL
Bauer AG.,B5A
Bayer AG,BAYN
Bechtle AG,BC8
Beiersdorf AG,BEI
Berentzen-Gruppe AG,BEZ
Bijou Brigitte Mod. Access. AG,BIJ
Bilfinger SE,GBF
BlackRock Asset Management Deutschland AG,EXSG
BlackRock Asset Management Deutschland AG,EXSA
BlackRock Asset Management Deutschland AG,ISPA
BlackRock Asset Management Deutschland AG,EXSH
BlackRock Asset Management Deutschland AG,EXSE
BlackRock Asset Management Deutschland AG,EXXU
BlackRock Asset Management Deutschland AG,EXX5
BlackRock Asset Management Deutschland AG,EXXT
BlackRock Asset Management Deutschland AG,EXV1
BlackRock Asset Management Deutschland AG,EXV6
BlackRock Asset Management Deutschland AG,EXV8
BlackRock Asset Management Deutschland AG,EXH5
BlackRock Asset Management Deutschland AG,EXH1
BlackRock Asset Management Deutschland AG,EXV2
Branicks Group AG,BRNK
Brenntag SE,BNR
Carl Zeiss Meditec A G,AFX
Cliq Digital AG,CLIQ
Commerzbank AG,CBK
CompuGroup Medical SE & Co. KgaA,COP
Continental AG,CON
Covestro AG,1COV
Cropenergies AG,CE2
Daimler Truck Holding AG,DTG
Delivery Hero SE,DHER
Dermapharm Holding SE,DMP
Deutsche Bank AG,DBK
Deutsche Bank Luxembourg S.A.,DBX2
Deutsche Bank Luxembourg S.A.,DXS3
Deutsche Boerse AG,DB1
Deutsche Lufthansa AG,LHA
Deutsche Post AG,DHL
Deutsche Rohstoff AG,DR0
Deutsche Telekom AG,DTE
Deutsche Wohnen SE,DWNI
Deutz AG,DEZ
Dr. Ing. h.c. F. Porsche AG,P911
DWS Group GmbH & Co. KGaA,DWS
Einhell Germany AG,EIN3
Encavis AG,ECV
Energiekontor AG,EKT
E. On SE,EOAN
Evonik Industries AG,EVK
Evotec SE,EVT
FIL Fund Management (Ireland) Limited,FGEQ
Fraport AG,FRA
Freenet AG,FNTN
Fresenius Medical Care AG & Co. KGaA,FME
Fresenius SE & Co. KGaA,FRE
Fuchs Petrolub SE,FPE3
GEA Group AG,G1A
Gerresheimer AG,GXI
Grand City Properties S.A,GYC
Grenke AG,GLJ
Hamburger Hafen Und Logistik AG,HHFA
Hannover Ruck SE,HNR1
Hapag-Lloyd AG,HLAG
Heidelberg Materials AG,HEI
HELLA GmbH & Co. KGaA,HLE
HelloFresh SE,HFG
Henkel AG & Co. KGAA,HEN
Henkel AG & Co. KGAA,HEN3
Hochtief AG,HOT
HORNBACH Holding AG & Co. KGaA,HBH
Hugo Boss AG,BOSS
Infineon Technologies AG,IFX
Innotec TSS AG,TSS
Jungheinrich AG,JUN3
Kloeckner & Co SE.,KCO
Knaus Tabbert AG,KTA
Knorr-Bremse AG,KBX
Kontron AG.,KTN
K & S AG,SDF
KWS SAAT SE & Co. KGaA,KWS
Lanxess AG,LXS
LEG Immobilien SE,LEG
Leifheit AG,LEI
LPKF Laser & Electronics AG,LPK
Manz Automation AG,M5Z
Mensch & Maschine Software SE,MUM
Mercedes-Benz Group AG,MBG
Merck KGAA,MRK
Metro AG,B4B
Morphosys AG,MOR
MTU Aero Engines AG,MTX
Muenchener Rueckversicherungs-Gesellschaft AG,MUV2
Mutares SE & Co. KGaA,MUX
Nemetschek SE,NEM
Porsche Automobil Holding SE,PAH3
Prosiebensati Media SE,PSM
Puma SE,PUM
Rational AG,RAA
Rheinmetall AG,RHM
RWE AG,RWE
Sap SE,SAP
Sartorius AG,SRT
Sartorius AG,SRT3
Schloss Wachenheim AG,SWA
Scout24 SE,G24
Siemens AG,SIE
Siemens Energy AG,ENR
Siemens Healthineers AG,SHL
Siltronic Ag,WAF
Sixt SE,SIX2
Sixt SE,SIX3
State Street Global Advisors Limited (IE),SPYW
State Street Global Advisors Limited (IE),ZPRA
Steico AG,ST5
STO SE & CO,STO3
Sudzucker AG.,SZU
SUSS MicroTec SE,SMHN
Symrise AG,SY1
TAG Immobilien AG,TEG
Takkt AG,TTK
Talanx AG,TLX
TeamViewer AG,TMV
Telefonica Deutschland Holding AG,O2D
thyssenkrupp AG,TKA
TLG Immobilien AG,TLG
Tui AG,TUI1
Uniper SE,UN0
United Internet AG,UTDI
VanEck Investments Ltd,ESP0
Verbio SE,VBK
Volkswagen AG,VOW
Volkswagen AG,VOW3
Vonovia SE,VNA
Wacker Chemie AG,WCH
Westwing Group AG,WEW
Wirecard AG,WDI
Wustenrot & Wurttembergische AG,WUW
Zalando SE,ZAL
Zeal Network,TIMA
